<U>Yes, I'd like to buy movie tickets for today.	[A]I'd be glad to assist you. Do you know what you want to see, or would you like some help?	dlg-b422568e-0f8d-42f3-9bf3-e118807699ae
<U>Hello. Do a search for me of the current movie titled Little Women. I want to know if this film is playing at a Harrisburg movie theater.	[A]Okay. Searching for the film, Little Women, currently playing at a Harrisburg PA movie theater. Is that correct?	dlg-3e339b4d-ea91-4636-b91c-171df9ed9f65
<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated R<C><U>Hey! Are there any good movies playing around here in Spring Hills Kansas tonight?<A>I can check that out for you! What movie are you looking for?<U>Me and my wife want to see something funny.<A>Ok, let me search....<U>okie dokie<A>There are 2 films that are comedy.<U>Ok give me details on the first one.<PN>find_movies<PAN>description.other<PAV>something funny<PAN>location<PAV>Spring Hills Kansas<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 72%<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>Not My Problem - Comedy - rated PG-13 - Rotten Tomatoes 72% - A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.<U>What is the other one?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Romantic Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>rating.movie	[PN]get_movie_attribute[PAN]name.movie[PAV]Family Jewels[PAN]attribute[PAV]review.critic	dlg-66d817b5-49af-4f6f-ba7b-cf4e2f271ba0
<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<C><U>I want to watch a movie at the AMC Mountain 16.<A>OK. I understand that you’d like to get tickets for tonight. Can you tell me the city and state where the theater is located?<U>I'm in Santa Barbara, CA.<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>OK. And are you interested in AMC Mountain 16 or AMC Mercado 24?<U>I said AMC Mountain 16 the first time.<A>Sorry for the trouble but I wanted to make sure I have it right.<U>OK.<A>Is there a particular movie you’re looking for?<U>Can we do this faster, I'm in a bit of a hurry.<A>OK, so far I understand that you are interested in tickets for tonight at AMC Mountain 16. We just need to decide on a movie, the number of tickets and a showtime.<U>What's playing at the Mountain 16?<PN>find_movies<PAN>name.theater<PAV>AMC Mountain 16	[A]I found two movies at AMC Mountain 16: No Time To Die and Mulan.	dlg-eb815916-43d0-4838-91c7-b3b81feae07f
<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<C><U>We are bored<A>What about a movie?<U>Yes, we like funny movies<PN>find_movies<PAN>description.other<PAV>funny movies<PAN>location<PAV>Spring Hill, KS	[A]Looks like there are two options for funny movies. You are in Spring Hill, KS?	dlg-a177d155-6041-4980-a4f8-a61146d1ea86
<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<C><U>I would like to see a movie with my girlfriend and uncle, but I am not sure what to see.<A>How many people will you need tickets for?<U>I will need 4 tickets.<A>What is your location?<U>I am located in Spring Hills, Kansas. What movies are playing in the theater near my location?<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem:<PRAV>10:05pmFamily Jewels:<PRAV>8:10pmShuttered:<PRAV>9:00pmBeyond the Storm:<PRAV>8:30pmBackcountry:<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>Not My Problem:<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>10:05pmFamily Jewels:<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>8:10pmShuttered:<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_theaters<PAN>name.movie<PAV>9:00pmBeyond the Storm:<PAN>location<PAV>Spring Hills, Kansas<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>8:30pmBackcountry:<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<PN>find_showtimes<PAN>name.movie<PAV>Not My Problem:<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1pm<PRAV>3:55pm<PRAV>7pm<PRAV>10:05pmFamily<PN>find_showtimes<PAN>name.movie<PAV>10:05pmFamily Jewels:<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>2:00pm<PRAV>5:00pm<PRAV>8:10pmShuttered:<PN>find_showtimes<PAN>name.movie<PAV>8:10pmShuttered:<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>3:00pm<PRAV>5:45<PRAV>9:00pmBeyond<PN>find_showtimes<PAN>name.movie<PAV>9:00pmBeyond the Storm:<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1:30pm<PRAV>3:40<PRAV>6:10pm<PRAV>8:30pmBackcountry:<PN>find_showtimes<PAN>name.movie<PAV>8:30pmBackcountry:<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>4:10pm<PRAV>7:30pm<PRAV>10:15pm<A>The following movies and times are playing in the theater near Spring Hills, Kansas: Not My Problem: AMC Holiday Theater - 1pm - 3:55pm - 7pm - 10:05pmFamily Jewels: AMC Holiday Theater - 2:00pm - 5:00pm - 8:10pmShuttered: AMC Holiday Theater - 3:00pm - 5:45 - 9:00pmBeyond the Storm: Cinemark Downtown - 1:30pm - 3:40 - 6:10pm - 8:30pmBackcountry: Cinemark Downtown - 4:10pm - 7:30pm - 10:15pm<U>What is the movie Not My Problem about?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem:<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem:<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem:<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 72%<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem:<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem:<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem:<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>Comedy - rated PG-13 - Rotten Tomatoes 72% - A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.<U>What is the movie Beyond the Storm about?<PN>get_movie_attribute<PAN>name.movie<PAV>9:00pmBeyond the Storm:<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Action<PN>get_movie_attribute<PAN>name.movie<PAV>9:00pmBeyond the Storm:<PAN>attribute<PAV>rating.movie	[PN]get_movie_attribute[PAN]name.movie[PAV]9:00pmBeyond the Storm:[PAN]attribute[PAV]review.critic	dlg-cd9801a5-d471-4304-90e8-55663f9b6188
<U>Standard.<C><U>Hi, I need three tickets to Weathering With You for tomorrow.<A>What theater?<U>The University Townplex in Los Angeles<A>At what time?<U>2:00 PM show<A>Preferred seating.<U>Yes and let's make that 2 tickets please.<A>What type of screen.	[A]You want 2 tickets to Weathering With You for 1/24/2020 at the University Townplex, Los Angeles, CA, preferred seating, Standard screen, correct?	dlg-fc741c63-e40e-4588-ae2c-a8925468fb02
<U>Thanks for trying.<C><U>What movies are playing in Los Angeles this weekend?<A>There are quite a few. What are you thinking about?<U>what recently came out?<PN>find_movies<PAN>location<PAV>Los Angeles<PR>find_movies<PRAN>name.movie<PRAV>Frozen II<A>There's Frozen II.<U>That's fun.<A>Do you want to know movie times?<U>I've already seen that?<A>What else are you interested in?<U>Something kid friendly.<PN>find_movies<PAN>location<PAV>Los Angeles<PAN>description.other<PAV>Something kid friendly<PR>find_movies<PRAN>name.movie<PRAV>Jumanji<A>Jumanji.<U>I've heard great things about that.<PN>get_movie_attribute<PAN>name.movie<PAV>Jumanji<PAN>attribute<PAV>review.audience<PR>get_movie_attribute<PRAN>review.audience<PRAV>highly rated<A>It's highly rated.<U>That's the movie with Nick Jonas?<A>That's right.<U>Reserve three tickets for this weekend at 7:00 pm at Pacific Theater in Los Angeles.<PN>find_showtimes<PAN>name.movie<PAV>Frozen II<PAN>name.theater<PAV>Pacific Theater<PAN>date.showing<PAV>this weekend<PAN>time.preference<PAV>7:00 pm<PR>find_showtimes<PRAN>time.showing<PRAV>9:15 pm<A>There's no 7:00 pm show. There's a 9:15 pm showing.<U>That won't work.<A>Anything else?<U>Magnificent playing at Pacific Theater in Los Angeles.<PN>find_theaters<PAN>location<PAV>Los Angeles<PAN>name.movie<PAV>Magnificent<PR>find_theaters<PRAN>name.theater<PRAV>Pacific Theater<A>No it is.<U>Is there anything rated PG that's playing at Pacific Theater in Los Angeles during the evening this weekend?<PN>check_tickets<PAN>name.theater<PAV>Pacific Theater<PAN>num.tickets<PAV>three<PAN>time.preference<PAV>the evening<PAN>date.showing<PAV>this weekend<PAN>seating<PAV>any<PR>check_tickets<PRAN>status<PRAV>unavailable<A>Tickets are all sold out.	[A]Have a nice day.	dlg-e6f0b0f6-a890-47e4-8a82-81e8fc451674
<U>9-10pm please<C><U>Hi I am in Spring Hills Kansas and want to see a movie at the AMC Holiday Theater. I don't know which one.<A>Okay, is there a certain time you would like me to look at movies, or would you like to hear them all?	[PN]find_movies[PAN]location[PAV]Spring Hills Kansas[PAN]name.theater[PAV]AMC Holiday Theater	dlg-7b4d6783-b9d2-416b-acb2-ebcc236c5e41
<U>maybe, is that movie, Knives Out, playing there?<C><U>Hi, can you tell me if Star Wars is Playing at the Pacific in Rhonert Park?<PN>find_theaters<PAN>name.movie<PAV>Star Wars<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>Pacific<PRAV>Rialto<A>I'm sorry it's not playing there?<U>Does it play at the Rialto then?<A>Yes, it is at the Rialto in Santa Rosa, would you like tickets?	[PN]find_theaters[PAN]name.movie[PAV]Knives Out[PAN]location[PAV]nearby	dlg-111ece7d-02e7-4ca3-96c6-9adb073222f6
<U>that is the one.<C><S><A>Hello. How can I help you?<U>help me with the title:The one featuring Daniel Craig in his fifth and final outing as the fictional MI6 agent James Bond.<PN>resolve_movie<PAN>name.movie<PAV>featuring Daniel Craig in his fifth and final outing as the fictional MI6 agent James Bond<PR>resolve_movie<PRAN>name.movie<PRAV>No Time To Die<A>Happy to help! Let me just confirm that the movie name is No Time To Die. Is that right?<U>sure.<A>OK. Would you mind giving me the city and state where you’d like to see your movie?<U>SF will be the most convenient with me<PN>resolve_location<PAN>location<PAV>SF<PR>resolve_location<PRAN>location<PRAV>San Francisco, California<A>OK. San Francisco, California. One moment.	[PN]find_theaters[PAN]name.movie[PAV]No Time To Die[PAN]location[PAV]San Francisco, California	dlg-221c989a-b529-43ed-becd-30806a82079a
<PR>find_showtimes<PRAN>time.showing<PRAV>2:30<PRAV>5:20<C><U>Hey, is that new animation out yet?<PN>find_movies<PAN>name.genre<PAV>animation<PAN>description.other<PAV>new<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>onward<A>Do you mean onward?<U>Yeah, That. I want to take my nieces to it.<A>Ok. let me check the times for you.<U>Ok.<PN>find_showtimes<PAN>name.movie<PAV>onward<PAN>date.showing<PAV>this afternoon<PAN>type.screening<PAV>3D	[A]It's showing this afternoon at 2:30 and 5:20 and both are for the 3D showing in downtown.	dlg-868d5696-b26b-44f6-9a88-9ffd997281c3
<U>Yes, please.<C><U>Please help me get me tickets in the morning tomorrow for Sonic the Hedgehog.<A>Surely, I can do so. What city are you in?<U>I'm in Orlando, FL.<A>What time?<U>11:00 AM please<PN>find_theaters<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>location<PAV>Orlando, FL<PR>find_theaters<PRAN>name.theater<PRAV>Regal Winter Park Village & RPX<PN>find_showtimes<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>name.theater<PAV>Regal Winter Park Village & RPX<PAN>date.showing<PAV>tomorrow<PAN>time.preference<PAV>11:00 AM<PAN>type.screening<PAV>standard<PR>find_showtimes<PRAN>time.showing<PRAV>11:00 AM<PRAV>1:00 PM<A>Regal Winter Park Village & RPX has a standard showing tomorrow at 11:00 AM.<U>That is wonderful!<A>How many tickets will that be?<U>That is for 3 tickets please.<A>Adults or children?<U>1 adult and 2 kids please.<A>Surely. Would you like me to reserve the tickets now?<U>Yes, please.<A>Let me just confirm for 3 tickets being 1 adult and 2 children for the Regal Winter Park Village & RPX standard showing tomorrow at 11:00 AM.<U>Oh, wait I have to change the time as I have to work till 12:00 PM. I'm sorry I forgot.<A>Okay, how about Regal Winter Park Village & RPX has a standard showing tomorrow at 1:00 PM for 1 adult and 2 children.	[PN]book_tickets[PAN]name.movie[PAV]Sonic the Hedgehog[PAN]name.theater[PAV]Regal Winter Park Village & RPX[PAN]num.tickets[PAV]1 adult and 2 children[PAN]time.showing[PAV]1:00 PM[PAN]date.showing[PAV]tomorrow[PAN]seating[PAV]any	dlg-03bcc407-b757-4c65-876f-1c834d041c23
<U>i would like to go to malco theatre in collierville.<C><U>hi<A>hello how can i help you?<U>i would like to book a movie ticket<A>which movie would you like to book for?<U>Jumanji.<A>can you please tell me which theatre would you prefer?	[A]ok. please hold on.	dlg-a043d9c6-6932-4612-9a6b-38ab2b57d804
<PR>book_tickets<PRAN>status<PRAV>success<C><U>Can you get us some movie tickets for today?<A>Of course, what do you want to see?<U>Can you give us suggestions?<A>Yes, I can give you specific genres or rating per Rotten Tomatoes<U>What was the best ratings on Rotten Tomatoes?<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Beyond The Storm<PRAV>Backcountry<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 81%<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>James Cameron<A>Rotten Tomatoes 81% - Beyond The Storm - Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board - directed by James Cameron.<U>Anything else?<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 91%<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Explore Yosemite in all its glory in this award winning film that delves into the wonders of one of the United State’s most iconic national parks<A>Backcountry - Rotten Tomatoes 91% - Explore Yosemite in all its glory in this award winning film that delves into the wonders of one of the United State’s most iconic national parks.<U>I think Backcountry sounds good<A>Ok, should I get you tickets?<U>Yes<A>How many?<U>Three<A>What location?<U>Spring Hills Kansas.<PN>find_theaters<PAN>name.movie<PAV>Backcountry<PAN>location<PAV>Spring Hills Kansas<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<PN>find_showtimes<PAN>name.movie<PAV>Backcountry<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>4:10pm<PRAV>7:30pm<PRAV>10:15pm<A>Backcountry is at Cinemark Downtown - 4:10pm - 7:30pm - 10:15pm<U>7:30pm<A>Ok, to confirm three tickets today to Backcountry at Cinemark Downtown at 7:30pm<U>Yes<PN>book_tickets<PAN>name.movie<PAV>Backcountry<PAN>name.theater<PAV>Cinemark Downtown<PAN>num.tickets<PAV>Three<PAN>time.showing<PAV>7:30pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any	[A]Your tickets are confirmed and they’ve been sent to your email address.	dlg-78af0fda-008a-46cc-847b-bec4aef93feb
