<U>Purchase two tickets for Mulan for 4pm today.	[A]Do you want to purchase two tickets for Mulan at 6:10pm today?	dlg-f15a36b2-3c86-4397-9b71-76b70908dc8e
<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<C><U>I'd like to go to a movie tonight.<A>OK. Can you tell me the city and state where the theater is located?<U>Sure. I'm so excited to be able to get out and go to a movie finally.<A>Great. Can you tell me the city and state where you plan to see the movie?<U>Oh sorry, I'm in Santa Barbara, California.<A>Got it. Are you interested in a particular movie?<U>There are a lot of movie theaters here.<A>OK. Is there a movie you have in mind?<U>Oh I'd really like to see an action movie.<PN>find_theaters<PAN>location<PAV>Santa Barbara, California	[PN]find_movies[PAN]name.theater[PAV]AMC Mountain 16[PAN]name.genre[PAV]action	dlg-6f7c63b1-a9a5-44c5-9f81-4d68ef0cd10c
<U>How far away is this theater from me?<C><U>I would like to purchase tickets for a movie.<A>What day would you like to purchase tickets for?<U>Tomorrow. April 22nd.<A>Do you have a preference for a movie theater?<U>No. What movies theaters are near my city of Seven Trees?<PN>find_theaters<PAN>location<PAV>near my city of Seven Trees<PR>find_theaters<PRAN>name.theater<PRAV>Mountain AMC 16<PRAV>Holiday Cinemark 12<A>First, you have the Mountain AMC 16 theater that is located in North Fork.<U>How far away is the Mountain AMC 16 theater?<A>The Mountain AMC 16 theater is 22 miles from your location.<U>Are there any other theaters nearby?<A>There is the Holiday Cinemark 12 theater in Butte Crest.	[A]The Holiday Cinemark 12 theater is located 30 miles away from your current location.	dlg-b7c2b1e3-a2de-4469-8dc7-e50e4aadb0ca
<U>Oh there's still time to make the 5:00pm, let's do that one<C><U>Hi, I'd like to see a movie tonight<A>OK. And in what city?<U>I'm in Creek's End, Oregon<PN>resolve_location<PAN>location<PAV>Creek’s End, Oregon<PR>resolve_location<PRAN>location<PRAV>Creek’s End, Oregon<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?<U>I was thinking about seeing the new Mulan, I heard it's pretty different from the animated version<PN>resolve_movie<PAN>name.movie<PAV>Mulan<PR>resolve_movie<PRAN>name.movie<PRAV>Mulan<PN>find_theaters<PAN>name.movie<PAV>Mulan<PAN>location<PAV>Creek’s End, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>Sure. In Creek’s End, Oregon, I see that Mulan is showing in two theaters: AMC Mountain 16 and AMC Mercado 24.<U>I'd rather go to the AMC Mercado 24, the parking lot at the Mountain 16 is a pain to get into and out of<PN>find_showtimes<PAN>name.movie<PAV>Mulan<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>AMC Mercado 24<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<A>No problem. It looks like tonight’s remaining showtimes for Mulan at AMC Mercado 24 are 5:00pm, 7:10pm, and 9:45pm. Which is best for you?	[A]Great. And how many tickets?	dlg-6f1aac27-77e1-4616-9306-7e1a113cefde
<U>Ok. I think that helps narrow the options down. Sounds like my best bet would be to stick to Zombieland, Joker or Ad Astra.<C><U>I plan on going to the theater to see a movie this weekend. Would you happen to know what's currently playing?<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>maleficent<PRAV>zombieland<PRAV>Downton Abby<PRAV>Ad Astra<A>I know of a few movies that have come out recently, maleficent, zombieland, Downton Abby, and Ad Astra is suppose to be good. What types of movies do you like?<U>I enjoy many genre's which makes it super difficult to choose. I guess it depends on my mood and the time of the year. Near the holidays, I usually like to watch movies associated with the upcoming holiday.<A>Well maybe you'd be interested in a scary movie since Halloween is around the corner.<U>Maybe. Do you know of any scary movies currently playing?<PN>find_movies<PAN>name.genre<PAV>scary<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>IT two<PN>find_movies<PAN>description.other<PAV>scary movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>IT two<A>IT two is out, that sounds pretty scary. I personally don't like scary movies. Zombie land could be a good option its more comical than scary if you're like me and don't like to be scared.<U>I love scary movies especially around Halloween but I haven't seen the first IT remake yet, so I should probably wait until I see the first one. Could you look up the current movies available at the theater near my home?<A>Sure. Was there a specific day and time you'd like to see a movie?<U>I'm pretty flexible this weekend, I don't have a specific day or time in mind. What are some titles?<PN>find_movies<PAN>description.other<PAV>scary movie<PAN>location<PAV>near my home<PR>find_movies<PRAN>name.movie<PRAV>Joker<PRAV>Count down<PRAV>Black & Blue<PRAV>Gemini Man<PRAV>Hollywood<PRAV>Scary Stories<A>In addition to the titles I've mentioned. Joker, Count down, Black & Blue, Gemini Man, Hollywood, and Scary Stories are all playing.<U>Oh, I think I heard Joker was good from a friend. They said its dark yet a more realistic view into the Joker's mind. Do you know anything about the other titles?<A>Honestly, I haven't seen or heard much about any of the other movies. Except that Gemini Man has Will Smith in it.<U>Hmm. What do the rating and reviews say?<PN>get_movie_attribute<PAN>name.movie<PAV>Gemini Man<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>25%<PN>get_movie_attribute<PAN>name.movie<PAV>Count down<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>30%<PN>get_movie_attribute<PAN>name.movie<PAV>Black & Blue<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>47%<PN>get_movie_attribute<PAN>name.movie<PAV>Downton Abby<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>84%<PN>get_movie_attribute<PAN>name.movie<PAV>maleficent<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>41%<PN>get_movie_attribute<PAN>name.movie<PAV>Zombie land<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>68%<PN>get_movie_attribute<PAN>name.movie<PAV>Joker<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>69%<PN>get_movie_attribute<PAN>name.movie<PAV>Ad Astra<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>84%<A>Rotten tomatoes rates - Gemini at 25%, Countdown 30%, Black & Blue 47%, Downton Abbey 84%, Maleficent 41%, Zombie land 68%, Joker got 69% and Ad Astra 84%.	[A]Those appear to be the best options besides Downton Abbey but that movie is a bout rich english in a castle, not sure if you'd enjoy it.	dlg-4abb1165-776c-45a1-9925-2c17cde795b6
<U>Not really, neither of us is too into that genre but it can be a last resort<C><U>Hi, I'm looking for a movie to take my significant other to<A>Have you considered our romantic comedies?	[PN]find_movies[PAN]location[PAV]nearby	dlg-d982b5a3-6152-43c5-bad9-352b541eddba
<PR>find_showtimes<PRAN>time.showing<PRAV>3:00pm<PRAV>5:45<PRAV>9:00pm<C><U>Hello is this AMC Holiday Theate?<A>Yes it is, How can I help you?<U>Hello I am looking for a movie that is comedy or a horror movie for today?<PN>find_movies<PAN>name.theater<PAV>AMC Holiday Theate<PAN>name.genre<PAV>comedy or a horror<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Shuttered<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes of 72%<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>about a troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>Ok we have a comedy movie that is called Not My Problem, rated PG-13 has a Rotten Tomatoes of 72% it is about a troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. Stars Matt Damon and Noah Schnapp.<U>Wow ok cool. What about the other one?<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>horror<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>it is about a girl name Sarah Decker that moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes of 61%<A>The horror movie is called Shuttered, rated R has a Rotten Tomatoes of 61% it is about a girl name Sarah Decker that moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm.<U>Wow, they both sound like really good movies.<A>Yes they do. I really like both of them.<U>Ok, the horror movie sound a little better and what time will it be starting?<PN>find_showtimes<PAN>name.movie<PAV>Shuttered<PAN>date.showing<PAV>today<PAN>name.theater<PAV>AMC Holiday Theate<PAN>time.preference<PAV>any	[A]The time for Shuttered will be starting at 3:00pm, 5:45 and 9:00pm today.	dlg-f4c635a0-f062-48d3-b2e0-f16acb9e921c
<PR>get_movie_attribute<PRAN>review.audience<PRAV>has a score of 61%<C><U>Hi, I'd like to get some information on films in my area.<A>Sure thing. What is your location?<U>I'm in Spring Hills Kansas.<A>Okay, got it. Now what information did you want to look up?<U>I wanted to see if you tell me what a couple of films are about.<A>Sure, I can do that. What are the film titles?<U>The first one I want to know about is a movie called Shuttered.<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>horror<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>film about a woman that moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm<A>Okay, Shuttered is a horror film about a woman that moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm.<U>Okay, and the second is called Not My Problem.<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>is about a troubled teen that tries to convince his depressed elderly neighbor that things are not what they seem<A>Not My Problem is about a troubled teen that tries to convince his depressed elderly neighbor that things are not what they seem.<U>Is that a drama or something?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<A>Not My Problem is a Comedy.<U>Oh, okay. Which of the films has a higher audience score?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.audience<PR>get_movie_attribute<PRAN>review.audience<PRAV>has the higher score of 72%<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>review.audience	[A]Not My Problem has the higher score of 72%, Shuttered has a score of 61%.	dlg-2ac3c295-6485-40c6-a699-d7e9968a33da
<U>OK. I have another request. Could you help me remember the name of the movie with all of the different animals in it?<C><U>Is the Pixar movie with Tom Holland and Chris Pratt playing in my area?<PN>resolve_movie<PAN>name.movie<PAV>The Pixar movie with Tom Holland and Chris Pratt<PR>resolve_movie<PRAN>name.movie<PRAV>Onward<A>Happy to help! Let me just confirm that the movie you're talking about is Onward. Is that right?<U>That’s right.<PN>find_theaters<PAN>name.movie<PAV>Onward<PAN>location<PAV>Phoenix, Arizona<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. Onward is playing at both AMC Mountain 16 and Cinemark Plaza 24 in Phoenix, Arizona.<U>I want to ask you about if another movie is in theaters, but I am having the hardest time remembering the name. It is the movie about the video game character.<A>Let me check.<PN>resolve_movie<PAN>name.movie<PAV>The movie about the video game character.<PR>resolve_movie<PRAN>name.movie<PRAV>Sonic The Hedgehog<A>I found some titles that might be what you're thinking of. The first is Long Way To Darkness. The second is Sonic The Hedgehog. Are either of those the one you want?<U>Sonic the Hedgehog! That is the one I was trying to remember.<A>Great let me check theaters.<U>OK.<PN>find_theaters<PAN>name.movie<PAV>Sonic The Hedgehog<PAN>location<PAV>Phoenix, Arizona<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<A>I looks like Sonic The Hedgehog is only playing at AMC Mountain 16.	[A]The movie with all of the different animals in it. . Let me see what I can find.[PN]resolve_movie[PAN]name.movie[PAV]The movie with all of the different animals in it.	dlg-db7e5613-b353-43b6-bba6-1dbb60a54546
<U>No, you misunderstood, change it to Star wars, I DO NOT want tickets to Doctor Doolittle after all.<C><U>Hi, what is something fun to do in Santa Rosa Tonight?<A>There are some football or superbowl parties, do you like that idea?<U>No, something else please<A>Sure, what about a movie or something like that?<U>Sure, ok Movie, hit me.<A>What kind of movie do you like?<U>I have to take the whole family so something NOT R rated.<PN>find_movies<PAN>location<PAV>Santa Rosa<PAN>description.other<PAV>something NOT R rated<PAN>name.genre<PAV>family<PR>find_movies<PRAN>name.movie<PRAV>Doctor Doolittle<PN>get_movie_attribute<PAN>name.movie<PAV>Doctor Doolittle<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>family<A>What about Doctor Doolittle? It's a family picture.<U>Ok, is that still at the Roxy downtown?<A>Yes it is.<U>Is there a 7 show?<PN>find_showtimes<PAN>name.movie<PAV>Doctor Doolittle<PAN>name.theater<PAV>Roxy downtown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>7<PR>find_showtimes<PRAN>time.showing<PRAV>7:10 pm<A>No, but there is a 7:10 pm showing, does that suit?<U>That's ok, I don't want that get me tickets for Star wars.<A>Ok, tickets for Doctor Doolittle then, how many?	[A]Ok fine, how many would you like for Star Wars?	dlg-cdff350b-8693-4aa8-a53b-5b79cb9b2cb5
<U>Let's book the 8:10 pm I get off work let<C><U>What's good tonight<PN>find_theaters<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC holiday<PRAV>cinemark downtown<A>Would you like AMC holiday Theater or cinemark downtown?<U>Let's go with AMC Holiday Theater<PN>find_movies<PAN>name.theater<PAV>AMC holiday<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Not My problem<PRAV>Shuttered<PRAV>family jewels<A>Not My problem, Shuttered, and family jewels are playing tonight<U>Which ones are comedies?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedies<PN>get_movie_attribute<PAN>name.movie<PAV>family jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>romantic comedy<A>Not My Problem and Family Jewels is a romantic comedy<U>What's the description for Not My Problem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 72%<PN>get_movie_attribute<PAN>name.movie<PAV>Not My problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>Not My Problem - Comedy - rated PG-13 - Rotten Tomatoes 72% - A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.<U>And family jewels?<PN>get_movie_attribute<PAN>name.movie<PAV>family jewels<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>family jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 69%<PN>get_movie_attribute<PAN>name.movie<PAV>family jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist-<PN>get_movie_attribute<PAN>name.movie<PAV>family jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>family jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>Family Jewels - Romantic Comedy - rated R - Rotten Tomatoes 69% - A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist- Stars Melissa McCarthy and Ryan Reynolds.<U>Oh I like ryan reynolds lets go with that one<PN>find_showtimes<PAN>name.movie<PAV>family jewels<PAN>name.theater<PAV>AMC holiday<PAN>date.showing<PAV>tonight<PAN>time.preference<PAV>tonight<PR>find_showtimes<PRAN>time.showing<PRAV>2:00pm<PRAV>5:00pm<PRAV>8:10pm<A>The show times are 2:00pm - 5:00pm - 8:10pm	[A]How many tickets would you like?	dlg-b6707bca-d6bd-434f-a468-26964a569cc1
